x,y
434,0.244824
435,0.245376
436,0.245929
437,0.246481
438,0.247034
439,0.247586
440,0.248138
441,0.24869
442,0.249242
443,0.249794
444,0.250346
445,0.250897
446,0.251449
447,0.252
448,0.252552
449,0.253103
450,0.253655
451,0.254206
452,0.254757
453,0.255308
454,0.255859
455,0.25641
456,0.256961
457,0.257511
458,0.258062
459,0.258613
460,0.259163
461,0.259713
462,0.260264
463,0.260814
464,0.261364
465,0.261914
466,0.262464
467,0.263014
468,0.263564
469,0.264114
470,0.264663
471,0.265213
472,0.265762
473,0.266312
474,0.266861
475,0.26741
476,0.267959
477,0.268508
478,0.269057
479,0.269606
480,0.270155
481,0.270703
482,0.271252
483,0.2718
484,0.272349
485,0.272897
486,0.273445
487,0.273993
488,0.274542
489,0.275089
490,0.275637
491,0.276185
492,0.276733
493,0.27728
494,0.277828
495,0.278375
496,0.278923
497,0.27947
498,0.280017
499,0.280564
500,0.281111
501,0.281658
502,0.282205
503,0.282751
504,0.283298
505,0.283845
506,0.284391
507,0.284937
508,0.285484
509,0.28603
510,0.286576
511,0.287122
512,0.287668
513,0.288213
514,0.288759
515,0.289305
516,0.28985
517,0.290395
518,0.290941
519,0.291486
520,0.292031
521,0.292576
522,0.293121
523,0.293666
524,0.294211
525,0.294755
526,0.2953
527,0.295844
528,0.296388
529,0.296933
530,0.297477
531,0.298021
532,0.298565
533,0.299109
534,0.299653
535,0.300196
536,0.30074
537,0.301283
538,0.301827
539,0.30237
540,0.302913
541,0.303456
542,0.303999
543,0.304542
544,0.305085
545,0.305627
546,0.30617
547,0.306713
548,0.307255
549,0.307797
550,0.308339
551,0.308881
552,0.309423
553,0.309965
554,0.310507
555,0.311049
556,0.31159
557,0.312132
558,0.312673
559,0.313215
560,0.313756
561,0.314297
562,0.314838
563,0.315379
564,0.315919
565,0.31646
566,0.317001
567,0.317541
568,0.318081
569,0.318622
570,0.319162
571,0.319702
572,0.320242
573,0.320782
574,0.321321
575,0.321861
576,0.322401
577,0.32294
578,0.323479
579,0.324019
580,0.324558
581,0.325097
582,0.325636
583,0.326174
584,0.326713
585,0.327252
586,0.32779
587,0.328328
588,0.328867
589,0.329405
590,0.329943
591,0.330481
592,0.331019
593,0.331556
594,0.332094
595,0.332631
596,0.333169
597,0.333706
598,0.334243
599,0.33478
600,0.335317
601,0.335854
602,0.336391
603,0.336928
604,0.337464
605,0.338001
606,0.338537
607,0.339073
608,0.339609
609,0.340145
610,0.340681
611,0.341217
612,0.341752
613,0.342288
614,0.342823
615,0.343359
616,0.343894
617,0.344429
618,0.344964
619,0.345499
620,0.346034
621,0.346568
622,0.347103
623,0.347637
624,0.348171
625,0.348706
626,0.34924
627,0.349774
628,0.350307
629,0.350841
630,0.351375
631,0.351908
632,0.352442
633,0.352975
634,0.353508
635,0.354041
636,0.354574
637,0.355107
638,0.35564
639,0.356172
640,0.356705
641,0.357237
642,0.357769
643,0.358301
644,0.358833
645,0.359365
646,0.359897
647,0.360429
648,0.36096
649,0.361492
650,0.362023
651,0.362554
652,0.363085
653,0.363616
654,0.364147
655,0.364678
656,0.365208
657,0.365739
658,0.366269
659,0.366799
660,0.36733
661,0.36786
662,0.368389
663,0.368919
664,0.369449
665,0.369978
666,0.370508
667,0.371037
668,0.371566
669,0.372095
670,0.372624
671,0.373153
672,0.373682
673,0.37421
674,0.374739
675,0.375267
676,0.375795
677,0.376323
678,0.376851
679,0.377379
680,0.377907
681,0.378434
682,0.378962
683,0.379489
684,0.380016
685,0.380543
686,0.38107
687,0.381597
688,0.382124
689,0.382651
690,0.383177
691,0.383703
692,0.38423
693,0.384756
694,0.385282
695,0.385807
696,0.386333
697,0.386859
698,0.387384
699,0.38791
700,0.388435
701,0.38896
702,0.389485
703,0.39001
704,0.390534
705,0.391059
706,0.391583
707,0.392108
708,0.392632
709,0.393156
710,0.39368
711,0.394204
712,0.394727
713,0.395251
714,0.395774
715,0.396298
716,0.396821
717,0.397344
718,0.397867
719,0.39839
720,0.398912
721,0.399435
722,0.399957
723,0.40048
724,0.401002
725,0.401524
726,0.402046
727,0.402567
728,0.403089
729,0.40361
730,0.404132
731,0.404653
732,0.405174
733,0.405695
734,0.406216
735,0.406737
736,0.407257
737,0.407778
738,0.408298
739,0.408818
740,0.409338
741,0.409858
742,0.410378
743,0.410897
744,0.411417
745,0.411936
746,0.412456
747,0.412975
748,0.413494
749,0.414012
750,0.414531
751,0.41505
752,0.415568
753,0.416086
754,0.416605
755,0.417123
756,0.417641
757,0.418158
758,0.418676
759,0.419193
760,0.419711
761,0.420228
762,0.420745
763,0.421262
764,0.421779
765,0.422295
766,0.422812
767,0.423328
768,0.423845
769,0.424361
770,0.424877
771,0.425393
772,0.425908
773,0.426424
774,0.426939
775,0.427454
776,0.42797
777,0.428485
778,0.428999
779,0.429514
780,0.430029
781,0.430543
782,0.431058
783,0.431572
784,0.432086
785,0.4326
786,0.433113
787,0.433627
788,0.43414
789,0.434654
790,0.435167
791,0.43568
792,0.436193
793,0.436706
794,0.437218
795,0.437731
796,0.438243
797,0.438755
798,0.439267
799,0.439779
800,0.440291
801,0.440803
802,0.441314
803,0.441825
